sales_date,n
08/31/2015,38
09/01/2015,55
09/02/2015,50
09/03/2015,37
09/04/2015,45
09/05/2015,6
09/06/2015,5
09/07/2015,14
09/08/2015,39
09/09/2015,48
09/10/2015,47
09/11/2015,45
09/12/2015,6
09/14/2015,38
09/15/2015,44
09/16/2015,59
09/17/2015,48
09/18/2015,49
09/19/2015,1
09/20/2015,3
09/21/2015,39
09/22/2015,74
09/23/2015,32
09/24/2015,48
09/25/2015,44
09/26/2015,2
09/27/2015,4
09/28/2015,29
09/29/2015,46
09/30/2015,49
10/01/2015,41
10/02/2015,30
10/03/2015,4
10/04/2015,2
10/05/2015,40
10/06/2015,43
10/07/2015,33
10/08/2015,41
10/09/2015,45
10/10/2015,6
10/11/2015,4
10/12/2015,32
10/13/2015,54
10/14/2015,45
10/15/2015,68
10/16/2015,40
10/17/2015,1
10/18/2015,7
10/19/2015,41
10/20/2015,41
10/21/2015,50
10/22/2015,38
10/23/2015,26
10/24/2015,2
10/25/2015,1
10/26/2015,54
10/27/2015,55
10/28/2015,44
10/29/2015,45
10/30/2015,37
10/31/2015,3
11/01/2015,5
11/02/2015,33
11/03/2015,46
11/04/2015,58
11/05/2015,42
11/06/2015,42
11/07/2015,2
11/08/2015,4
11/09/2015,39
11/10/2015,35
11/11/2015,42
11/12/2015,50
11/13/2015,57
11/14/2015,3
11/15/2015,1
11/16/2015,29
11/17/2015,32
11/18/2015,32
11/19/2015,40
11/20/2015,39
11/21/2015,1
11/23/2015,34
11/24/2015,48
11/25/2015,41
11/26/2015,23
11/27/2015,10
11/28/2015,3
11/29/2015,3
11/30/2015,62
12/01/2015,59
12/02/2015,57
12/03/2015,70
12/04/2015,56
12/05/2015,1
12/06/2015,12
12/07/2015,55
12/08/2015,69
12/09/2015,80
12/10/2015,77
12/11/2015,54
12/12/2015,2
12/13/2015,1
12/14/2015,52
12/15/2015,54
12/16/2015,68
12/17/2015,38
12/18/2015,46
12/19/2015,3
12/20/2015,1
12/21/2015,36
12/22/2015,42
12/23/2015,41
12/24/2015,15
12/26/2015,1
12/27/2015,4
12/28/2015,10
12/29/2015,23
12/30/2015,37
12/31/2015,33
01/01/2016,1
01/03/2016,2
01/04/2016,38
01/05/2016,35
01/06/2016,33
